"Person.ID.1","Role.1","Year.of.Birth.1","Country.of.Birth.1","Home.Language.1","Dept.No..1","Faculty.No..1","With.PHD.1","No..of.Years.in.Uni.at.Time.of.Grant.1","Number.of.Successful.Grant.1","Number.of.Unsuccessful.Grant.1","A..1","A.1","B.1","C.1","index","age","y"
"78947","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2553","25","OtherNA","Less than 0",1,1,0,3,3,1,25,47,"1"
"36527","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2653","25","OtherNA",">=0 to 5",1,4,0,0,0,0,26,52,"0"
"16137","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2653","25","OtherNA",">5 to 10",1,5,4,3,1,0,27,57,"0"
"20927","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2578","25","No",">5 to 10",0,1,0,2,2,0,28,42,"0"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,29,47,"0"
"3067","CHIEF_INVESTIGATOR",1950,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,3,3,1,0,30,57,"1"
"39817","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","653","7","OtherNA",">=0 to 5",0,1,0,0,0,0,31,52,"0"
"69032","DELEGATED_RESEARCHER",1965,"Australia","English","2538","25","No",">=0 to 5",1,2,4,2,3,1,32,42,"0"
"Other","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2653","25","No",">10 to 15",1,0,7,5,7,7,33,47,"1"
"Other","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2298","46","OtherNA","Less than 0",0,1,0,0,0,0,34,57,"0"
"5287","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","3123","31","No",">=0 to 5",2,1,8,3,1,0,35,47,"1"
"66887","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","Other","25","OtherNA","Less than 0",0,2,0,5,2,0,36,52,"0"
"70662","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","Other","31","OtherNA","Less than 0",1,1,0,3,0,0,37,37,"0"
"69812","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","OtherNA",">5 to 10",1,5,10,7,9,1,38,47,"0"
"35382","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2103","19","OtherNA","Less than 0",0,1,4,9,0,0,39,37,"0"
"149767","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","Other","25","OtherNA","OtherNA",1,2,0,0,0,0,40,32,"0"
"63562","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","2523","25","OtherNA","Less than 0",1,1,0,2,5,2,41,67,"0"
"71867","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","2578","25","No",">10 to 15",3,1,7,19,26,13,42,62,"0"
"142457","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2713","25","OtherNA","Less than 0",1,1,0,0,0,0,43,37,"1"
"74162","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","Other","25","No",">5 to 10",1,0,10,19,7,6,44,37,"1"
"67647","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2678","25","No",">5 to 10",1,6,9,8,8,4,45,42,"0"
"63492","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","2523","25","OtherNA","Less than 0",0,1,1,0,9,4,46,62,"0"
"26877","CHIEF_INVESTIGATOR",1935,"Australia","OtherNA","3123","31","OtherNA",">5 to 10",0,0,0,2,4,1,47,72,"1"
"69812","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","OtherNA",">5 to 10",1,5,10,7,9,1,48,47,"0"
"491312","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2563","25","No",">=0 to 5",0,3,0,0,0,0,49,47,"0"
"66672","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","1258","34","No",">10 to 15",2,0,16,15,13,15,50,47,"1"
"70662","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","Other","31","OtherNA","Less than 0",1,1,0,3,0,0,51,37,"1"
"30977","CHIEF_INVESTIGATOR",1950,"Great Britain","OtherNA","Other","31","OtherNA","Less than 0",1,0,10,8,8,9,52,57,"1"
"30457","CHIEF_INVESTIGATOR",1955,"Asia Pacific","OtherNA","2558","25","OtherNA","Less than 0",0,0,0,0,2,1,53,52,"0"
"79802","PRINCIPAL_SUPERVISOR",1950,"Australia","OtherNA","Other","31","No","more than 15",1,0,1,8,9,5,54,57,"1"
"10577","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2653","25","OtherNA",">5 to 10",0,1,3,4,3,1,55,47,"1"
"85642","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","3258","31","No",">=0 to 5",1,5,16,21,24,6,56,52,"1"
"82377","CHIEF_INVESTIGATOR",1950,"New Zealand","OtherNA","2298","46","No","more than 15",0,0,1,0,1,3,59,57,"0"
"46237","CHIEF_INVESTIGATOR",1945,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,0,1,2,1,61,62,"0"
"9227","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","1258","34","No",">=0 to 5",0,3,0,2,3,3,63,37,"0"
"16137","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2653","25","OtherNA",">5 to 10",1,5,4,3,1,0,64,57,"0"
"Other","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2778","25","OtherNA",">5 to 10",0,1,1,1,0,2,65,47,"0"
"15187","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","3198","31","No",">10 to 15",0,1,4,17,0,3,66,47,"0"
"43882","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","Other","25","No",">=0 to 5",0,5,3,4,2,1,67,32,"0"
"30017","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","OtherNA",">=0 to 5",0,0,0,7,9,3,68,47,"1"
"1217","CHIEF_INVESTIGATOR",1960,"Australia","English","Other","31","No","more than 15",2,0,16,13,8,0,69,47,"1"
"489582","CHIEF_INVESTIGATOR",1975,"Great Britain","OtherNA","3048","31","No",">=0 to 5",0,1,11,1,2,0,70,32,"0"
"76352","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2523","25","No",">10 to 15",1,0,4,4,0,0,71,42,"1"
"81067","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","3508","4","OtherNA","more than 15",1,1,1,5,0,2,72,67,"0"
"74162","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","Other","25","No",">5 to 10",1,0,10,19,7,6,73,37,"1"
"66657","PRINCIPAL_SUPERVISOR",1965,"Australia","OtherNA","Other","25","OtherNA","Less than 0",0,0,10,4,2,0,74,42,"0"
"Other","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","1033","1","OtherNA","Less than 0",1,0,0,0,1,0,75,62,"1"
"79057","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2603","25","OtherNA",">5 to 10",1,0,2,2,1,0,76,52,"1"
"22972","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2523","25","OtherNA","Less than 0",0,1,0,2,1,3,77,42,"0"
"4222","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","OtherNA",">10 to 15",0,2,9,11,4,2,78,47,"0"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,79,47,"0"
"85642","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","3258","31","No",">=0 to 5",1,5,16,21,24,6,80,52,"0"
"5967","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2923","25","No",">5 to 10",0,1,0,3,5,2,81,52,"1"
"76352","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2523","25","No",">10 to 15",1,0,4,4,0,0,82,42,"1"
"74302","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2603","25","No",">10 to 15",2,1,1,1,1,0,83,47,"1"
"Other","CHIEF_INVESTIGATOR",1980,"Australia","OtherNA","2923","25","OtherNA","OtherNA",0,1,0,0,0,0,84,27,"0"
"56387","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","31","No",">=0 to 5",1,1,0,1,0,0,85,47,"0"
"39632","CHIEF_INVESTIGATOR",1975,"Great Britain","OtherNA","2533","25","No",">=0 to 5",0,2,0,0,1,3,86,32,"0"
"85642","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","3258","31","No",">=0 to 5",1,5,16,21,24,6,87,52,"0"
"8012","CHIEF_INVESTIGATOR",1960,"Western Europe","OtherNA","1098","1","No",">5 to 10",1,1,0,0,0,1,88,47,"0"
"71867","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","2578","25","No",">10 to 15",3,1,7,19,26,13,89,62,"0"
"12957","CHIEF_INVESTIGATOR",1965,"Great Britain","OtherNA","2603","25","No",">5 to 10",1,6,10,6,8,1,91,42,"0"
"8772","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2763","25","OtherNA","Less than 0",3,2,3,6,3,1,92,42,"0"
"73017","CHIEF_INVESTIGATOR",1960,"The Americas","OtherNA","2103","19","No",">10 to 15",0,2,4,1,3,3,93,47,"0"
"125287","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","2103","19","No",">=0 to 5",0,2,0,0,0,0,94,62,"0"
"497907","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2578","25","No","Less than 0",0,0,3,1,1,0,95,37,"1"
"1687","CHIEF_INVESTIGATOR",1960,"Great Britain","OtherNA","2603","25","No",">10 to 15",1,0,7,10,3,1,96,47,"1"
"132232","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","2523","25","No",">=0 to 5",1,0,0,0,1,0,98,32,"0"
"28682","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","Other","7","No",">=0 to 5",1,0,0,1,1,2,99,32,"1"
"67622","CHIEF_INVESTIGATOR",1945,"North America","OtherNA","803","7","No","more than 15",0,1,0,0,0,0,100,62,"0"
"115417","CHIEF_INVESTIGATOR",1965,"Western Europe","Other","2253","19","No",">=0 to 5",0,1,0,4,4,0,101,42,"0"
"19362","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","Other","25","OtherNA",">=0 to 5",0,1,0,2,3,0,102,52,"0"
"Other","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","Other","7","OtherNA","Less than 0",0,0,0,3,3,1,103,57,"1"
"69952","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","1578","13","No",">10 to 15",0,0,2,8,6,0,105,47,"1"
"74932","CHIEF_INVESTIGATOR",1960,"Great Britain","OtherNA","Other","25","No",">10 to 15",0,0,2,3,6,0,107,47,"1"
"Other","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","1033","1","OtherNA","Less than 0",0,1,0,0,0,0,108,42,"0"
"Other","PRINCIPAL_SUPERVISOR",1960,"Australia","OtherNA","2498","25","OtherNA","Less than 0",0,1,1,1,1,3,109,47,"0"
"730092","CHIEF_INVESTIGATOR",1975,"OtherNA","OtherNA","2653","25","OtherNA","Less than 0",1,0,1,0,0,0,110,32,"1"
"7947","CHIEF_INVESTIGATOR",1960,"Asia Pacific","OtherNA","3048","31","No",">5 to 10",0,0,9,4,2,2,111,47,"1"
"38697","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2778","25","OtherNA","OtherNA",0,1,3,3,0,0,112,47,"0"
"34737","CHIEF_INVESTIGATOR",1970,"North America","OtherNA","2603","25","No","Less than 0",1,5,1,6,6,1,114,37,"0"
"27757","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","OtherNA",">5 to 10",2,0,8,5,4,0,115,47,"1"
"712","CHIEF_INVESTIGATOR",1970,"Great Britain","OtherNA","1678","13","No",">=0 to 5",0,0,0,2,4,0,116,37,"1"
"726602","CHIEF_INVESTIGATOR",1970,"OtherNA","OtherNA","2523","25","OtherNA","Less than 0",1,0,0,0,0,0,117,37,"1"
"80187","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","3123","31","OtherNA","Less than 0",0,1,2,6,9,2,118,62,"0"
"84627","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2973","25","No",">=0 to 5",0,1,8,5,0,3,119,47,"0"
"73882","CHIEF_INVESTIGATOR",1960,"Great Britain","OtherNA","2713","25","OtherNA","Less than 0",1,1,4,3,2,1,120,47,"0"
"118747","CHIEF_INVESTIGATOR",1980,"Australia","OtherNA","2713","25","OtherNA",">=0 to 5",0,2,0,0,0,0,121,27,"0"
"85642","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","3258","31","No",">=0 to 5",1,5,16,21,24,6,122,52,"1"
"Other","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2653","25","No",">10 to 15",1,0,7,5,7,7,123,47,"1"
"80377","CHIEF_INVESTIGATOR",1945,"Australia","OtherNA","3258","31","No","more than 15",3,1,4,4,6,1,124,62,"1"
"18377","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2923","25","No",">5 to 10",1,0,1,0,6,0,125,47,"1"
"148087","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2653","25","OtherNA",">=0 to 5",0,2,2,1,0,0,126,57,"0"
"48892","CHIEF_INVESTIGATOR",1980,"Australia","OtherNA","Other","31","OtherNA","Less than 0",0,1,0,0,0,0,127,27,"0"
"67282","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2578","25","No",">5 to 10",0,2,4,3,4,3,128,42,"1"
"77112","CHIEF_INVESTIGATOR",1960,"Great Britain","OtherNA","2763","25","No",">=0 to 5",1,1,12,10,5,0,129,47,"0"
"12957","CHIEF_INVESTIGATOR",1965,"Great Britain","OtherNA","2603","25","No",">5 to 10",1,6,10,6,8,1,130,42,"0"
"22792","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","3508","4","No",">5 to 10",0,2,0,2,0,1,131,52,"0"
"612","DELEGATED_RESEARCHER",1960,"Australia","OtherNA","3123","31","No",">10 to 15",0,1,7,1,2,0,132,47,"1"
"12957","CHIEF_INVESTIGATOR",1965,"Great Britain","OtherNA","2603","25","No",">5 to 10",1,6,10,6,8,1,133,42,"1"
"78752","CHIEF_INVESTIGATOR",1955,"Western Europe","OtherNA","2713","25","No",">10 to 15",1,1,6,5,2,0,134,52,"0"
"81067","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","3508","4","OtherNA","more than 15",1,1,1,5,0,2,135,67,"1"
"148087","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2653","25","OtherNA",">=0 to 5",0,2,2,1,0,0,136,57,"0"
"26107","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2558","25","No",">5 to 10",1,1,1,4,4,0,137,37,"0"
"73017","CHIEF_INVESTIGATOR",1960,"The Americas","OtherNA","2103","19","No",">10 to 15",0,2,4,1,3,3,138,47,"0"
"492057","CHIEF_INVESTIGATOR",1965,"Asia Pacific","Other","3048","31","No",">=0 to 5",1,2,0,0,12,4,139,42,"1"
"80502","CHIEF_INVESTIGATOR",1950,"Australia","English","2578","25","No",">5 to 10",0,0,0,2,3,1,140,57,"1"
"68817","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2713","25","No",">10 to 15",0,2,3,10,4,1,141,52,"0"
"68512","CHIEF_INVESTIGATOR",1945,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,0,0,0,0,142,62,"0"
"64277","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2973","25","No",">10 to 15",0,0,17,9,2,4,144,57,"0"
"783297","CHIEF_INVESTIGATOR",1975,"OtherNA","OtherNA","2538","25","OtherNA","Less than 0",1,0,0,0,0,0,145,32,"1"
"16332","CHIEF_INVESTIGATOR",1955,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,0,0,2,0,146,52,"0"
"393152","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","2298","46","No","Less than 0",0,1,0,0,0,0,147,67,"0"
"65712","CHIEF_INVESTIGATOR",1950,"Western Europe","OtherNA","2523","25","OtherNA","more than 15",0,1,0,2,4,2,148,57,"0"
"40947","CHIEF_INVESTIGATOR",1965,"Australia","English","2653","25","No",">=0 to 5",0,2,3,2,0,1,149,42,"0"
"93802","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2563","25","No",">=0 to 5",0,1,0,0,1,13,150,37,"0"
"159607","CHIEF_INVESTIGATOR",1955,"The Americas","Other","2553","25","No",">=0 to 5",0,2,0,5,5,5,152,52,"0"
"6712","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","2563","25","OtherNA","Less than 0",1,1,0,1,1,1,153,57,"0"
"34177","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2523","25","OtherNA",">=0 to 5",0,2,2,1,0,10,154,47,"0"
"624752","CHIEF_INVESTIGATOR",1970,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,1,1,1,1,0,155,37,"0"
"107667","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2778","25","OtherNA",">=0 to 5",1,0,1,2,1,0,156,52,"1"
"86302","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2763","25","No",">=0 to 5",0,5,1,0,0,0,157,37,"0"
"500137","CHIEF_INVESTIGATOR",1975,"North America","OtherNA","3198","31","OtherNA","OtherNA",1,0,2,0,0,0,159,32,"1"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,160,47,"0"
"34737","CHIEF_INVESTIGATOR",1970,"North America","OtherNA","2603","25","No","Less than 0",1,5,1,6,6,1,161,37,"0"
"122392","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","Other","25","OtherNA","Less than 0",0,2,0,0,0,0,163,32,"0"
"30772","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2603","25","OtherNA",">=0 to 5",0,0,3,2,0,0,164,37,"1"
"63962","CHIEF_INVESTIGATOR",1950,"Australia","OtherNA","1258","34","No","more than 15",2,0,1,16,7,3,165,57,"1"
"Other","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","593","7","No",">=0 to 5",1,0,0,0,0,0,166,42,"1"
"25947","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","1038","1","OtherNA","OtherNA",1,1,0,0,0,0,167,47,"1"
"Other","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2763","25","OtherNA","OtherNA",0,1,2,1,0,0,168,37,"0"
"Other","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3048","31","No",">=0 to 5",0,0,22,2,2,1,169,42,"1"
"4702","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","1033","1","No",">5 to 10",0,1,8,7,6,0,170,47,"1"
"147722","CHIEF_INVESTIGATOR",1970,"Great Britain","OtherNA","2923","25","OtherNA","Less than 0",0,0,0,1,2,0,171,37,"1"
"89472","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","3048","31","No",">=0 to 5",1,1,15,1,3,0,172,37,"0"
"72317","CHIEF_INVESTIGATOR",1950,"Great Britain","OtherNA","2678","25","No",">10 to 15",1,0,7,4,4,0,174,57,"1"
"917","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","3123","31","OtherNA","Less than 0",1,1,1,1,1,0,175,47,"1"
"71442","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","1098","1","No",">=0 to 5",1,1,0,1,3,1,176,42,"1"
"67412","CHIEF_INVESTIGATOR",1960,"Asia Pacific","English","548","7","No",">10 to 15",0,2,0,1,0,0,177,47,"0"
"78817","CHIEF_INVESTIGATOR",1950,"Western Europe","OtherNA","2713","25","No","more than 15",2,0,4,8,6,2,178,57,"1"
"4302","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3198","31","No",">10 to 15",1,1,2,7,6,3,179,42,"1"
"500157","PRINCIPAL_SUPERVISOR",1970,"Australia","English","3258","31","No",">=0 to 5",0,0,9,0,1,0,180,37,"1"
"1797","CHIEF_INVESTIGATOR",1960,"North America","OtherNA","2678","25","No",">5 to 10",2,7,0,8,4,0,181,47,"1"
"69212","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","2778","25","OtherNA","more than 15",0,1,0,1,4,0,182,67,"0"
"17622","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","Other","25","OtherNA","OtherNA",0,2,4,14,10,5,183,52,"0"
"77887","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3073","31","No",">=0 to 5",0,1,0,1,0,0,184,42,"0"
"20122","CHIEF_INVESTIGATOR",1965,"Great Britain","OtherNA","2523","25","No",">=0 to 5",0,1,0,7,2,1,185,42,"0"
"12957","CHIEF_INVESTIGATOR",1965,"Great Britain","OtherNA","2603","25","No",">5 to 10",1,6,10,6,8,1,186,42,"0"
"86672","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","2713","25","No",">=0 to 5",1,0,0,0,0,0,187,32,"1"
"68472","PRINCIPAL_SUPERVISOR",1955,"Australia","OtherNA","1033","1","OtherNA","Less than 0",0,1,0,7,7,0,188,52,"1"
"9227","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","1258","34","No",">=0 to 5",0,3,0,2,3,3,189,37,"0"
"28342","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","2153","19","No","Less than 0",1,0,0,3,5,0,190,47,"1"
"Other","CHIEF_INVESTIGATOR",1935,"Australia","OtherNA","653","7","OtherNA","Less than 0",0,1,0,6,0,0,191,72,"0"
"74142","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","2103","19","No",">5 to 10",0,3,1,0,4,0,192,37,"0"
"67282","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2578","25","No",">5 to 10",0,2,4,3,4,3,194,42,"0"
"11342","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2558","25","No",">=0 to 5",0,1,0,0,1,0,195,42,"0"
"55437","CHIEF_INVESTIGATOR",1940,"Great Britain","OtherNA","Other","25","No","Less than 0",0,4,4,0,1,1,196,67,"0"
"79562","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","Other","25","No","more than 15",1,0,0,0,2,12,197,52,"1"
"46697","CHIEF_INVESTIGATOR",1980,"Australia","English","498","7","OtherNA","Less than 0",0,1,0,0,0,0,198,27,"0"
"84622","CHIEF_INVESTIGATOR",1955,"Australia","OtherNA","2973","25","OtherNA",">=0 to 5",0,3,8,6,1,2,199,52,"0"
"17342","CHIEF_INVESTIGATOR",1960,"Australia","OtherNA","Other","25","No",">=0 to 5",0,7,2,13,13,3,201,47,"0"
"Other","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","3658","22","No",">=0 to 5",2,0,2,4,2,1,202,37,"1"
"649042","CHIEF_INVESTIGATOR",1975,"Australia","OtherNA","2523","25","No",">=0 to 5",3,0,0,0,0,0,203,32,"1"
"8667","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3658","22","No",">5 to 10",0,1,0,4,0,0,204,42,"0"
"99052","CHIEF_INVESTIGATOR",1970,"Australia","OtherNA","3273","31","No",">=0 to 5",1,0,7,1,2,0,205,37,"1"
"67182","CHIEF_INVESTIGATOR",1940,"Australia","OtherNA","3708","10","OtherNA","Less than 0",0,1,0,2,2,1,206,67,"0"
"135457","CHIEF_INVESTIGATOR",1975,"Western Europe","OtherNA","3198","31","OtherNA","Less than 0",0,0,0,0,9,1,207,32,"1"
"98212","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","2653","25","OtherNA","more than 15",1,1,9,7,3,0,208,42,"0"
"44022","CHIEF_INVESTIGATOR",1965,"Australia","OtherNA","3508","4","OtherNA","OtherNA",1,3,0,0,2,0,209,42,"0"
"69657","CHIEF_INVESTIGATOR",1955,"Great Britain","English","Other","7","No","more than 15",2,3,0,2,9,3,210,52,"1"
"67932","CHIEF_INVESTIGATOR",1960,"OtherNA","OtherNA","Other","Other","OtherNA","OtherNA",0,0,6,10,7,6,211,47,"0"
"15287","CHIEF_INVESTIGATOR",1970,"North America","OtherNA","2523","25","No",">=0 to 5",1,1,1,7,4,0,212,37,"0"
