Grant.Status,A..papers,A.papers,B.papers,C.papers,Dif.countries,Perc_non_australian,Number.people,PHD,Max.years.univ,Grants.succ,Grants.unsucc,Departments,Perc.Lang.Eng,Perc.Lang.Other,Dif.Role,Perc.CHIEF.INVESTIGATOR,Average.Age,Weekday,Month,Day.of.Month,Day.of.Year,Season,Sponsor.Code,Grant.Category.Code,Contract.Value.Band,RFCD.0,RFCD.1,RFCD.2,RFCD.3,RFCD.4,RFCD.5,RFCD.6,RFCD.7,RFCD.8,RFCD.9,RFCD.10,RFCD.11,RFCD.12,RFCD.13,RFCD.14,RFCD.15,RFCD.16,RFCD.17,RFCD.18,RFCD.19,RFCD.20,RFCD.21,RFCD.22,RFCD.23,RFCD.24,SEO.0,SEO.1,SEO.2,SEO.3,SEO.4,SEO.5,SEO.6,SEO.7,SEO.8,SEO.9,SEO.10,SEO.11,SEO.12,SEO.13,SEO.14,SEO.15,SEO.16,SEO.17,SEO.18,SEO.19
1,10.0,8.0,8.0,9.0,1,0.0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,47.0,5.0,50000,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0,0.0,2.0,1.0,1,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.5,62.0,5,11,19,323,4,4.0,7.0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,1.0,8.0,9.0,5.0,1,1.0,1,1.0,20.0,1.0,0.0,1,0.0,0.0,2,0.0,67.0,5,11,19,323,4,36.0,1.0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0,4.0,3.0,1.0,1,1.0,2,0.0,10.0,1.0,1.0,2,0.0,0.0,1,1.0,57.0,5,11,19,323,4,4.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,16.0,21.0,24.0,6.0,1,1.0,1,1.0,5.0,1.0,5.0,1,0.0,0.0,2,0.5,62.0,5,11,19,323,4,34.0,8.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.5,57.0,5,11,19,323,4,4.0,7.0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,55.27897480510376,5,11,19,323,4,0.0,0.0,300000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0,0.0,1.0,3.0,1,0.0,1,1.0,20.0,0.0,0.0,1,0.0,0.0,2,0.5,67.0,5,11,19,323,4,18.0,2.0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,55.27897480510376,5,11,19,323,4,32.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,1.0,2.0,1.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.5,72.0,5,11,19,323,4,172.0,6.0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,55.27897480510376,5,11,19,323,4,4.0,1.0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0.0,2.0,3.0,3.0,1,1.0,2,2.0,15.0,0.0,3.0,1,1.0,0.0,2,0.6666666666666666,54.5,5,11,19,323,4,21.0,4.0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4.0,3.0,1.0,0.0,1,1.0,1,0.0,10.0,1.0,5.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,0.0,0.0,200000,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.0,1.0,0.0,2.0,1,1.0,1,0.0,10.0,0.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,184.0,6.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.0,17.0,0.0,3.0,1,1.0,1,1.0,15.0,0.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,2.0,1.0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,3.0,4.0,2.0,1.0,1,1.0,1,1.0,5.0,0.0,5.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,5.0,6.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.0,27.0,55.0,26.0,1,1.0,4,1.0,30.0,2.0,2.0,2,0.0,0.0,2,0.6666666666666666,60.75,5,11,19,323,4,63.0,2.0,100000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,16.0,13.0,8.0,0.0,1,1.0,1,1.0,20.0,2.0,0.0,1,1.0,0.0,1,1.0,57.0,5,11,19,323,4,2.0,1.0,2000000,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,11.0,1.0,2.0,0.0,1,0.0,1,1.0,5.0,0.0,1.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,47.0,5.0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,37.0,40.0,17.0,4.0,2,0.75,4,4.0,45.0,5.0,5.0,1,0.0,0.0,1,1.0,54.5,5,11,19,323,4,74.0,8.0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1.0,5.0,0.0,2.0,1,1.0,1,0.0,20.0,1.0,1.0,1,0.0,0.0,1,1.0,77.0,5,11,19,323,4,0.0,0.0,100000,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,10.0,19.0,7.0,6.0,1,1.0,1,1.0,10.0,1.0,0.0,1,0.0,0.0,1,1.0,47.0,5,11,19,323,4,29.0,5.0,50000,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10.0,4.0,2.0,0.0,1,1.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,52.0,5,11,19,323,4,6.0,6.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,0.0,1.0,0.0,1,1.0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,1,1.0,72.0,5,11,19,323,4,170.0,6.0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
