,Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1
36,0,0.0,0.0,1.0,270201.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70662.0,1,1970.0,7.0,3268.0,31.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
37,0,90.0,6.0,0.0,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69812.0,1,1960.0,7.0,2813.0,25.0,0.0,3.0,1.0,5.0,10.0,7.0,9.0,1.0
38,0,2.0,1.0,5.0,300105.0,50.0,270703.0,30.0,291002.0,20.0,0.0,0.0,0.0,0.0,770802.0,50.0,770202.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,35382.0,1,1970.0,7.0,2103.0,19.0,0.0,1.0,0.0,1.0,4.0,9.0,0.0,0.0
39,0,0.0,0.0,2.0,321028.0,50.0,270108.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730114.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149767.0,1,1975.0,7.0,2828.0,25.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
40,0,18.0,7.0,0.0,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,50.0,730399.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,63562.0,1,1940.0,7.0,2523.0,25.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0
41,0,4.0,1.0,0.0,320702.0,40.0,320703.0,40.0,270105.0,20.0,0.0,0.0,0.0,0.0,730000.0,40.0,730104.0,40.0,730213.0,20.0,0.0,0.0,0.0,0.0,71867.0,1,1945.0,7.0,2578.0,25.0,1.0,5.0,3.0,1.0,7.0,19.0,26.0,13.0
42,1,29.0,2.0,1.0,321004.0,40.0,321003.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,40.0,730106.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,142457.0,1,1970.0,7.0,2713.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
43,1,136.0,3.0,0.0,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74162.0,1,1970.0,7.0,2813.0,25.0,1.0,3.0,1.0,0.0,10.0,19.0,7.0,6.0
44,0,89.0,3.0,0.0,320602.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730107.0,50.0,730203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,67647.0,1,1965.0,7.0,2678.0,25.0,1.0,3.0,1.0,6.0,9.0,8.0,8.0,4.0
45,0,0.0,0.0,1.0,420303.0,50.0,370199.0,30.0,380105.0,20.0,0.0,0.0,0.0,0.0,730201.0,40.0,751004.0,40.0,730204.0,20.0,0.0,0.0,0.0,0.0,63492.0,1,1945.0,7.0,2523.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,4.0
46,1,2.0,1.0,8.0,260602.0,60.0,260601.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,770103.0,50.0,770102.0,30.0,770101.0,20.0,0.0,0.0,0.0,0.0,26877.0,1,1935.0,7.0,3123.0,31.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0
47,0,40.0,2.0,0.0,321003.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69812.0,1,1960.0,7.0,2813.0,25.0,0.0,3.0,1.0,5.0,10.0,7.0,9.0,1.0
48,0,34.0,8.0,1.0,321402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730217.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491312.0,1,1960.0,7.0,2563.0,25.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
49,1,2.0,1.0,0.0,300508.0,50.0,270201.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66672.0,1,1960.0,7.0,1258.0,34.0,1.0,5.0,2.0,0.0,16.0,15.0,13.0,15.0
50,1,21.0,4.0,0.0,300403.0,60.0,270899.0,30.0,270604.0,10.0,0.0,0.0,0.0,0.0,630106.0,90.0,730216.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,70662.0,1,1970.0,7.0,3268.0,31.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
51,1,47.0,2.0,1.0,270402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771102.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30977.0,1,1950.0,0.0,3028.0,31.0,0.0,1.0,1.0,0.0,10.0,8.0,8.0,9.0
52,0,4.0,7.0,0.0,380107.0,65.0,321299.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,25.0,730211.0,65.0,730217.0,10.0,0.0,0.0,0.0,0.0,30457.0,1,1955.0,9.0,2558.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
53,1,36.0,1.0,0.0,270403.0,50.0,300204.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,620105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79802.0,2,1950.0,7.0,3028.0,31.0,1.0,2.0,1.0,0.0,1.0,8.0,9.0,5.0
54,1,4.0,1.0,0.0,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10577.0,1,1960.0,7.0,2653.0,25.0,0.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0
55,1,34.0,8.0,0.0,270708.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770603.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85642.0,1,1955.0,7.0,3258.0,31.0,1.0,4.0,1.0,5.0,16.0,21.0,24.0,6.0
58,0,18.0,9.0,0.0,330103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749905.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82377.0,1,1950.0,8.0,2298.0,46.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0
62,0,21.0,4.0,0.0,270105.0,33.0,300405.0,34.0,270205.0,33.0,0.0,0.0,0.0,0.0,630101.0,50.0,670101.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9227.0,1,1970.0,7.0,1258.0,34.0,1.0,4.0,0.0,3.0,0.0,2.0,3.0,3.0
63,0,0.0,0.0,3.0,270108.0,70.0,321015.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16137.0,1,1950.0,7.0,2653.0,25.0,0.0,3.0,1.0,5.0,4.0,3.0,1.0,0.0
65,0,2.0,1.0,0.0,240204.0,40.0,299999.0,30.0,291702.0,30.0,0.0,0.0,0.0,0.0,671299.0,30.0,671399.0,40.0,700399.0,30.0,0.0,0.0,0.0,0.0,15187.0,1,1960.0,7.0,3198.0,31.0,1.0,5.0,0.0,1.0,4.0,17.0,0.0,3.0
67,1,63.0,9.0,2.0,321206.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730213.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30017.0,1,1960.0,7.0,2893.0,25.0,0.0,4.0,0.0,0.0,0.0,7.0,9.0,3.0
68,1,2.0,1.0,4.0,320405.0,80.0,270199.0,10.0,270304.0,10.0,0.0,0.0,0.0,0.0,730101.0,80.0,780105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,1,1960.0,7.0,3028.0,31.0,1.0,2.0,2.0,0.0,16.0,13.0,8.0,0.0
69,0,47.0,2.0,0.0,250200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489582.0,1,1975.0,0.0,3048.0,31.0,1.0,4.0,0.0,1.0,11.0,1.0,2.0,0.0
70,1,74.0,8.0,0.0,321202.0,50.0,270203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730213.0,50.0,730110.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,76352.0,1,1965.0,7.0,2523.0,25.0,1.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0
71,0,0.0,0.0,2.0,360299.0,60.0,310103.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,750699.0,60.0,760101.0,20.0,660403.0,20.0,0.0,0.0,0.0,0.0,81067.0,1,1940.0,7.0,3508.0,4.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0
72,1,29.0,2.0,1.0,321004.0,50.0,321012.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74162.0,1,1970.0,7.0,2813.0,25.0,1.0,3.0,1.0,0.0,10.0,19.0,7.0,6.0
73,0,6.0,3.0,0.0,320502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66657.0,2,1965.0,7.0,2668.0,25.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,0.0
74,1,170.0,3.0,0.0,300105.0,50.0,300399.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,770502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66902.0,1,1945.0,7.0,1033.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
75,1,4.0,1.0,0.0,270103.0,70.0,270199.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79057.0,1,1955.0,7.0,2603.0,25.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0
76,0,40.0,3.0,0.0,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730207.0,60.0,730218.0,20.0,730219.0,20.0,0.0,0.0,0.0,0.0,22972.0,1,1965.0,7.0,2523.0,25.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
77,0,24.0,3.0,1.0,321021.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4222.0,1,1960.0,7.0,2768.0,25.0,0.0,5.0,0.0,2.0,9.0,11.0,4.0,2.0
78,0,40.0,3.0,0.0,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,1,1960.0,4.0,2678.0,25.0,1.0,3.0,2.0,7.0,0.0,8.0,4.0,0.0
79,0,166.0,1.0,0.0,279901.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85642.0,1,1955.0,7.0,3258.0,31.0,1.0,4.0,1.0,5.0,16.0,21.0,24.0,6.0
80,1,29.0,2.0,1.0,321004.0,60.0,321216.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,60.0,730207.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5967.0,1,1955.0,7.0,2923.0,25.0,1.0,3.0,0.0,1.0,0.0,3.0,5.0,2.0
81,1,4.0,1.0,0.0,321015.0,40.0,230204.0,30.0,321202.0,30.0,0.0,0.0,0.0,0.0,730108.0,40.0,730107.0,30.0,730213.0,30.0,0.0,0.0,0.0,0.0,76352.0,1,1965.0,7.0,2523.0,25.0,1.0,5.0,1.0,0.0,4.0,4.0,0.0,0.0
82,1,21.0,4.0,0.0,320305.0,50.0,321010.0,25.0,320402.0,25.0,0.0,0.0,0.0,0.0,730101.0,75.0,730212.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,74302.0,1,1960.0,7.0,2603.0,25.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0
83,0,0.0,0.0,0.0,321208.0,45.0,321204.0,30.0,321206.0,25.0,0.0,0.0,0.0,0.0,730211.0,45.0,730217.0,30.0,730306.0,25.0,0.0,0.0,0.0,0.0,131257.0,1,1980.0,7.0,2923.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84,0,12.0,3.0,7.0,290104.0,40.0,270899.0,30.0,329999.0,30.0,0.0,0.0,0.0,0.0,670105.0,60.0,670499.0,10.0,730113.0,30.0,0.0,0.0,0.0,0.0,56387.0,1,1960.0,7.0,3268.0,31.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
85,0,101.0,6.0,1.0,321021.0,20.0,321204.0,40.0,380107.0,40.0,0.0,0.0,0.0,0.0,750101.0,40.0,740401.0,40.0,750305.0,20.0,0.0,0.0,0.0,0.0,39632.0,1,1975.0,0.0,2533.0,25.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0
86,0,33.0,7.0,7.0,300204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750704.0,70.0,620502.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,85642.0,1,1955.0,7.0,3258.0,31.0,1.0,4.0,1.0,5.0,16.0,21.0,24.0,6.0
87,0,2.0,1.0,0.0,270804.0,40.0,300602.0,30.0,300699.0,30.0,0.0,0.0,0.0,0.0,780105.0,60.0,620303.0,30.0,620399.0,10.0,0.0,0.0,0.0,0.0,8012.0,1,1960.0,1.0,1098.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0
88,0,24.0,3.0,0.0,321006.0,60.0,321013.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730113.0,60.0,730104.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,71867.0,1,1945.0,7.0,2578.0,25.0,1.0,5.0,3.0,1.0,7.0,19.0,26.0,13.0
90,0,164.0,2.0,0.0,320202.0,60.0,270199.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730102.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12957.0,1,1965.0,0.0,2603.0,25.0,1.0,3.0,1.0,6.0,10.0,6.0,8.0,1.0
91,0,143.0,3.0,0.0,321204.0,10.0,321214.0,40.0,321216.0,50.0,0.0,0.0,0.0,0.0,730207.0,25.0,730219.0,35.0,730301.0,40.0,0.0,0.0,0.0,0.0,8772.0,1,1965.0,7.0,2763.0,25.0,0.0,1.0,3.0,2.0,3.0,6.0,3.0,1.0
92,0,2.0,1.0,0.0,290801.0,60.0,291899.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,680202.0,50.0,680302.0,30.0,680402.0,20.0,0.0,0.0,0.0,0.0,73017.0,1,1960.0,3.0,2103.0,19.0,1.0,5.0,0.0,2.0,4.0,1.0,3.0,3.0
93,0,170.0,3.0,5.0,291104.0,40.0,340201.0,40.0,300902.0,20.0,0.0,0.0,0.0,0.0,770502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125287.0,1,1945.0,7.0,2103.0,19.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
94,1,4.0,1.0,0.0,270199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497907.0,1,1970.0,7.0,2578.0,25.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
95,1,4.0,1.0,6.0,320302.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730101.0,50.0,670403.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.0,1,1960.0,0.0,2603.0,25.0,1.0,5.0,1.0,0.0,7.0,10.0,3.0,1.0
