,A..papers,A.papers,B.papers,C.papers,Dif.countries,Perc_non_australian,Number.people,PHD,Max.years.univ,Grants.succ,Grants.unsucc,Departments,Perc.Lang.Eng,Perc.Lang.Other,Dif.Role,Perc.CHIEF.INVESTIGATOR,Average.Age,Weekday,Month,Day.of.Month,Day.of.Year,Season,Sponsor.Code,Grant.Category.Code,Contract.Value.Band,RFCD.Code,SEO.Code
10,2.0,4.0,0.0,0.0,1,1.0,2,2.0,25.0,1.0,0.0,1,0.0,0.0,1,1.0,59.5,5,11,19,323,4,2.0,1.0,1000000,"[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
11,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,2,0.5,57.0,5,11,19,323,4,136.0,6.0,0,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
12,4.0,3.0,2.0,1.0,1,0.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,4.0,1.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
13,3.0,4.0,2.0,0.0,1,1.0,2,0.0,0.0,0.0,1.0,2,0.0,0.0,2,0.5,52.0,5,11,19,323,4,0.0,0.0,0,"[3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
14,7.0,17.0,3.0,2.0,2,0.6666666666666666,3,3.0,50.0,3.0,5.0,3,0.0,1.0,3,0.4,60.333333333333336,5,11,19,323,4,2.0,1.0,0,"[2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,0.0,0.0,2.0,2.0,1,1.0,1,1.0,5.0,0.0,1.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,100.0,5.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
16,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,1.0,1.0,0,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
17,0.0,2.0,1.0,2.0,1,1.0,1,1.0,5.0,1.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,21.0,4.0,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
18,6.0,4.0,6.0,32.0,1,1.0,2,2.0,35.0,2.0,0.0,1,1.0,0.0,3,0.25,62.0,5,11,19,323,4,2.0,1.0,500000,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
19,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,24.0,6.0,50000,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
20,1.0,1.0,2.0,0.0,1,1.0,1,1.0,10.0,1.0,1.0,1,1.0,0.0,1,1.0,52.0,5,11,19,323,4,148.0,6.0,50000,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
21,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,12.0,6.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
22,6.0,12.0,2.0,2.0,1,1.0,2,1.0,40.0,3.0,3.0,2,0.0,0.0,2,0.5,62.0,5,11,19,323,4,62.0,5.0,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
23,1.0,3.0,4.0,1.0,1,1.0,2,2.0,10.0,1.0,0.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,2.0,1.0,300000,"[2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,0.0,3.0,3.0,1.0,1,1.0,2,1.0,20.0,1.0,1.0,2,1.0,0.0,3,0.3333333333333333,59.5,5,11,19,323,4,138.0,6.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
25,0.0,0.0,0.0,0.0,1,1.0,1,0.0,5.0,1.0,4.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,0.0,0.0,50000,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,4.0,3.0,1.0,0.0,1,1.0,1,0.0,10.0,1.0,5.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,0.0,0.0,200000,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,0.0,2.0,2.0,0.0,1,1.0,1,1.0,10.0,0.0,1.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,0.0,0.0,0,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
28,0.0,8.0,4.0,0.0,1,0.0,1,1.0,10.0,2.0,7.0,1,0.0,0.0,2,0.25,57.0,5,11,19,323,4,60.0,10.0,0,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
29,4.0,8.0,3.0,2.0,2,0.5,4,1.0,10.0,3.0,0.0,1,0.0,0.0,1,1.0,59.5,5,11,19,323,4,2.0,1.0,100000,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
30,0.0,0.0,0.0,0.0,1,1.0,1,0.0,5.0,0.0,1.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,143.0,6.0,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
31,4.0,2.0,3.0,1.0,1,1.0,2,2.0,10.0,1.0,2.0,1,1.0,0.0,3,0.3333333333333333,54.5,5,11,19,323,4,60.0,10.0,2000000,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
32,29.0,24.0,31.0,13.0,2,0.8333333333333334,6,5.0,50.0,4.0,0.0,2,1.0,0.0,2,0.8571428571428571,52.833333333333336,5,11,19,323,4,4.0,1.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
33,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,24.0,6.0,50000,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
34,8.0,3.0,1.0,0.0,1,1.0,1,1.0,5.0,2.0,1.0,1,0.0,0.0,2,0.3333333333333333,57.0,5,11,19,323,4,2.0,1.0,0,"[2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
35,0.0,5.0,2.0,0.0,1,1.0,1,0.0,0.0,0.0,2.0,1,0.0,0.0,1,1.0,62.0,5,11,19,323,4,148.0,6.0,50000,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
36,0.0,3.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,47.0,5,11,19,323,4,0.0,0.0,50000,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,10.0,7.0,9.0,1.0,1,1.0,1,0.0,10.0,1.0,5.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,90.0,13.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
38,4.0,9.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,2,0.16666666666666666,47.0,5,11,19,323,4,2.0,1.0,1000000,"[2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
39,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,2.0,1,0.0,0.0,1,1.0,42.0,5,11,19,323,4,0.0,0.0,100000,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
40,0.0,2.0,5.0,2.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,77.0,5,11,19,323,4,18.0,7.0,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
41,7.0,19.0,26.0,13.0,1,1.0,1,1.0,15.0,3.0,1.0,1,0.0,0.0,2,0.5,72.0,5,11,19,323,4,4.0,1.0,0,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
42,9.0,11.0,14.0,2.0,2,0.8,5,4.0,45.0,5.0,4.0,1,0.0,0.0,2,0.8,54.0,5,11,19,323,4,29.0,5.0,50000,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
43,10.0,19.0,7.0,6.0,1,1.0,1,1.0,10.0,1.0,0.0,1,0.0,0.0,2,0.5,47.0,5,11,19,323,4,136.0,6.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
44,9.0,8.0,8.0,4.0,1,1.0,1,1.0,10.0,1.0,6.0,1,0.0,0.0,1,1.0,52.0,5,11,19,323,4,89.0,6.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
45,1.0,0.0,9.0,4.0,1,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,1,1.0,72.0,5,11,19,323,4,0.0,0.0,50000,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
46,0.0,2.0,4.0,1.0,1,1.0,2,1.0,30.0,1.0,1.0,1,0.0,0.0,2,0.5,77.0,5,11,19,323,4,2.0,1.0,400000,"[3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
47,10.0,7.0,9.0,1.0,2,0.5,2,1.0,15.0,1.0,5.0,1,0.0,1.0,1,1.0,52.0,5,11,19,323,4,40.0,5.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
48,0.0,0.0,0.0,0.0,1,1.0,1,1.0,5.0,0.0,3.0,1,0.0,0.0,1,1.0,57.0,5,11,19,323,4,34.0,8.0,50000,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
49,16.0,15.0,13.0,15.0,1,1.0,1,1.0,15.0,2.0,0.0,1,0.0,0.0,2,0.5,57.0,5,11,19,323,4,2.0,1.0,0,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
50,0.0,3.0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0.0,1,1.0,47.0,5,11,19,323,4,21.0,4.0,0,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
51,10.0,8.0,8.0,9.0,1,0.0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,1,1.0,67.0,5,11,19,323,4,47.0,5.0,50000,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
52,0.0,0.0,2.0,1.0,1,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.5,62.0,5,11,19,323,4,4.0,7.0,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
53,1.0,8.0,9.0,5.0,1,1.0,1,1.0,20.0,1.0,0.0,1,0.0,0.0,2,0.0,67.0,5,11,19,323,4,36.0,1.0,0,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,3.0,4.0,3.0,1.0,1,1.0,2,0.0,10.0,1.0,1.0,2,0.0,0.0,1,1.0,57.0,5,11,19,323,4,4.0,1.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
55,16.0,21.0,24.0,6.0,1,1.0,1,1.0,5.0,1.0,5.0,1,0.0,0.0,2,0.5,62.0,5,11,19,323,4,34.0,8.0,0,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
56,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.5,57.0,5,11,19,323,4,4.0,7.0,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
57,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,,5,11,19,323,4,0.0,0.0,300000,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,1.0,0.0,1.0,3.0,1,0.0,1,1.0,20.0,0.0,0.0,1,0.0,0.0,2,0.5,67.0,5,11,19,323,4,18.0,2.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
59,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,,5,11,19,323,4,32.0,6.0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,0.0,1.0,2.0,1.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.5,72.0,5,11,19,323,4,172.0,6.0,0,"[2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
